segment,MAE,RMSE
B,735.81591796875,984.7083641870826
C,1141.96044921875,1770.9548977881961
D,1118.279052734375,1792.8969574406667
E,830.6737060546875,1044.4997606510017
F,857.20849609375,857.2084781428612
J,2747.302978515625,3717.05044356409
M,1622.8560791015625,1989.8397548546466
S,1823.6322021484375,3159.315273916169
unknown,2678.88818359375,5690.087345551033
